title	date	journal	url	EMOBON_publication
Determining the role of eco-tourism service quality, tourist satisfaction, and destination loyalty: A case study of Kuakata beach	2024	Acta Scientiarum Polonorum Administratio Locorum	https://doi.org/10.31648/aspal.9275	No
The cultivated sea lettuce (Ulva) microbiome: Successional and seasonal dynamics	2024	Aquaculture	https://doi.org/10.1016/j.aquaculture.2024.740692	No
Insights into core molecular changes associated with metamorphosis in gilthead seabream larvae across diverse hatcheries	2024	Aquaculture	https://doi.org/10.1016/j.aquaculture.2024.740979	No
Low pH enhances germination of eelgrass (Zostera marina L.) seeds despite ubiquitous presence of Phytophthora gemini	2024	Aquatic Botany	https://doi.org/10.1016/j.aquabot.2024.103805	No
Assessing the in vivo toxicity of titanium dioxide nanoparticles in Schmidtea mediterranea: uptake pathways and (neuro)developmental outcomes	2024	Aquatic Toxicology	https://doi.org/10.1016/j.aquatox.2024.106895	No
First record of a proseriate flatworm predating on a rhabdocoel (Platyhelminthes: Proseriata and Rhabdocoela)	2024	Biodiversity Data Journal	https://doi.org/10.3897/bdj.12.e116039	No
Microbial diversity in four Mediterranean irciniid sponges	2024	Biodiversity Data Journal	https://doi.org/10.3897/bdj.12.e114809	No
eDNAqua-Plan—Standardisation Overview for eDNA Sequencing of Aquatic Organisms and the Downstream Data Ecosystem	2024	Biodiversity Information Science and Standards	https://doi.org/10.3897/biss.8.135644	No
Dietary fatty acid composition drives neuroinflammation and impaired behavior in obesity	2024	Brain, Behavior, and Immunity	https://doi.org/10.1016/j.bbi.2024.01.216	No
Apoio a Repositórios de Dados em Infraestruturas de Pesquisa para Ciência Aberta	2024	Brazilian Journal of Information Science: research trends	https://doi.org/10.36311/1981-1640.2024.v18.e024005	No
UNCAN.eu: Toward a European Federated Cancer Research Data Hub	2024	Cancer Discovery	https://doi.org/10.1158/2159-8290.cd-23-1111	No
Mud and organic content are strongly correlated with microplastic contamination in a meandering riverbed	2024	Communications Earth & Environment	https://doi.org/10.1038/s43247-024-01613-2	No
Cryopreservation and recovery of a complex hypersaline microbial mat community	2024	Cryobiology	https://doi.org/10.1016/j.cryobiol.2024.104859	Yes
Transcriptome datasets and histological profiles of critical larval stages in gilthead seabream	2024	Data in Brief	https://doi.org/10.1016/j.dib.2024.110571	No
Earth Science Data Repositories: Implementing the CARE Principles	2024	EarthArXiv	https://doi.org/10.31223/x58408	No
Prokaryotic diversity in the sponges Mycale (Oxymycale) acerata (Kirkpatrick, 1907) and Dendrilla antarctica (Topsent, 1905) from two distant Antarctic marine areas: South Cove at Rothera Point (Adelaide Island, Western Antarctic Peninsula) and Thetys Bay (Terra Nova Bay, Ross Sea)	2024	Deep Sea Research Part II: Topical Studies in Oceanography	https://doi.org/10.1016/j.dsr2.2024.105391	No
Diversity and Composition of Posidonia oceanica-Associated Bacterial and Fungal Communities: Effect of Boat-Induced Mechanical Stress in the Villefranche-sur-Mer Bay (France)	2024	Diversity	https://doi.org/10.3390/d16100604	No
Blackfordia virginica in Non-Native Distribution Range: A Potential Food Source for Humans?	2024	Diversity	https://doi.org/10.3390/d16120729	No
Metazoan zooplankton in the Bay of Biscay: a 16-year record of individual sizes and abundances obtained using the ZooScan and ZooCAM imaging systems	2024	Earth System Science Data	https://doi.org/10.5194/essd-16-1265-2024	No
High-resolution observations of the ocean upper layer south of Cape St. Vincent, the western northern margin of the Gulf of Cádiz	2024	Earth System Science Data	https://doi.org/10.5194/essd-16-4641-2024	No
Do transformer missions redirect values of mission-oriented projects? The case of the EU mission ‘Restore our Ocean and Waters’	2024	Environmental Innovation and Societal Transitions	https://doi.org/10.1016/j.eist.2024.100894	No
Reproductive toxicity assessment of cellulose nanofibers, citric acid, and branched polyethylenimine in sea urchins: Eco-design of nanostructured cellulose sponge framework (Part B)	2024	Environmental Pollution	https://doi.org/10.1016/j.envpol.2024.123934	No
Water quality drives the reconfiguration of riverine planktonic microbial food webs	2024	Environmental Research	https://doi.org/10.1016/j.envres.2024.118379	No
Differential tissue immune stimulation through immersion in bacterial and viral agonists in the Antarctic Notothenia rossii	2024	Fish & Shellfish Immunology	https://doi.org/10.1016/j.fsi.2024.109516	No
