title	date	journal	url	EMOBON_publication
The Multifaceted Inhibitory Effects of an Alkylquinolone on the Diatom Phaeodactylum tricornutum	2020	ChemBioChem	https://doi.org/10.1002/cbic.201900612	No
Flow and diffusion around and within diatom aggregates: Effects of aggregate composition and shape	2020	Limnology and Oceanography	https://doi.org/10.1002/lno.11420	No
Genetic insights into recolonization processes of Mediterranean octocorals	2020	Marine Biology	https://doi.org/10.1007/s00227-020-03684-z	No
Cryptic diversity in the macroalgal genus Lobophora (Dictyotales) reveals environmental drivers of algal assemblages	2020	Marine Biology	https://doi.org/10.1007/s00227-020-03802-x	No
Cells Isolated from Regenerating Caudal Fin of Sparus aurata Can Differentiate into Distinct Bone Cell Lineages	2020	Marine Biotechnology	https://doi.org/10.1007/s10126-019-09937-3	No
Historical museum collections help detect parasite species jumps after tilapia introductions in the Congo Basin	2020	Biological Invasions	https://doi.org/10.1007/s10530-020-02288-4	No
Identification to species level of live single microalgal cells from plankton samples with matrix-free laser/desorption ionization mass spectrometry	2020	Metabolomics	https://doi.org/10.1007/s11306-020-1646-7	No
Whole mount in situ hybridization and immunohistochemistry for studying retinoic acid signaling in developing amphioxus	2020	Methods in Enzymology,Retinoid Signaling Pathways	https://doi.org/10.1016/bs.mie.2020.03.007	No
Pigment and fatty acid profiling reveal differences in epiphytic microphytes among tropical Thalassodendron ciliatum meadows	2020	Aquatic Botany	https://doi.org/10.1016/j.aquabot.2020.103253	No
Meiobenthos as food for farmed shrimps in the earthen ponds: Implications for sustainable feeding	2020	Aquaculture	https://doi.org/10.1016/j.aquaculture.2020.735094	No
Ontogeny of the digestive system and eye of reared flathead grey mullet, Mugil cephalus (Linnaeus, 1758), and evaluation of lipid deposition in the liver according to the feeding protocol	2020	Aquaculture	https://doi.org/10.1016/j.aquaculture.2020.735386	No
Efficient, fast and inexpensive bioassay to monitor benthic microalgae toxicity: Application to Ostreopsis species	2020	Aquatic Toxicology	https://doi.org/10.1016/j.aquatox.2020.105485	No
Cartilage acidic protein 1 promotes increased cell viability, cell proliferation and energy metabolism in primary human dermal fibroblasts	2020	Biochimie	https://doi.org/10.1016/j.biochi.2020.02.008	No
White and red LEDs as two-phase batch for cyanobacterial pigments production	2020	Bioresource Technology	https://doi.org/10.1016/j.biortech.2020.123105	No
Differential sensitivity of fatty acids and lipid damage in Microcystis aeruginosa (cyanobacteria) exposed to increased temperature	2020	Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology	https://doi.org/10.1016/j.cbpc.2020.108773	No
Peruvian scallop Argopecten purpuratus: From a key aquaculture species to a promising biondicator species	2020	Chemosphere	https://doi.org/10.1016/j.chemosphere.2019.124767	No
Apical Relaxation during Mitotic Rounding Promotes Tension-Oriented Cell Division	2020	Developmental Cell	https://doi.org/10.1016/j.devcel.2020.10.016	No
Fish assemblages of three common artificial reef designs during early colonization	2020	Ecological Engineering	https://doi.org/10.1016/j.ecoleng.2020.105994	No
Phytoplankton community dynamics in a coastal bay under upwelling influence (Central Chile)	2020	Estuarine, Coastal and Shelf Science	https://doi.org/10.1016/j.ecss.2020.106968	No
Does microplastic ingestion by zooplankton affect predator-prey interactions? An experimental study on larviphagy	2020	Environmental Pollution	https://doi.org/10.1016/j.envpol.2019.113479	No
Microalgal extracts induce larval programming and modify growth and the immune response to bioactive treatments and LCDV in Senegalese sole post-larvae	2020	Fish & Shellfish Immunology	https://doi.org/10.1016/j.fsi.2020.07.020	No
Ocean acidification increases domoic acid contents during a spring to summer succession of coastal phytoplankton	2020	Harmful Algae	https://doi.org/10.1016/j.hal.2019.101697	No
The first mitochondrial genomes of endosymbiotic rhabdocoels illustrate evolutionary relaxation of atp8 and genome plasticity in flatworms	2020	International Journal of Biological Macromolecules	https://doi.org/10.1016/j.ijbiomac.2020.06.025	No
Weak population structure and recent demographic expansion of the monogenean parasite Kapentagyrus spp. infecting clupeid fishes of Lake Tanganyika, East Africa	2020	International Journal for Parasitology	https://doi.org/10.1016/j.ijpara.2020.02.002	No
Ocean acidification alters the responses of invertebrates to wound-activated infochemicals produced by epiphytes of the seagrass Posidonia oceanica	2020	Journal of Experimental Marine Biology and Ecology	https://doi.org/10.1016/j.jembe.2020.151435	No
Failure to diverge in African Great Lakes: The case of Dolicirroplectanum lacustre gen. nov. comb. nov. (Monogenea, Diplectanidae) infecting latid hosts	2020	Journal of Great Lakes Research	https://doi.org/10.1016/j.jglr.2019.09.022	No
Seasonal variability in ecosystem functioning across estuarine gradients: The role of sediment communities and ecosystem processes	2020	Marine Environmental Research	https://doi.org/10.1016/j.marenvres.2020.105096	No
Do different habits affect microplastics contents in organisms? A trait-based analysis on salt marsh species	2020	Marine Pollution Bulletin	https://doi.org/10.1016/j.marpolbul.2020.110983	No
Phytoplankton response to nutrient pulses in an upwelling system assessed through a microcosm experiment (Algarrobo Bay, Chile)	2020	Ocean & Coastal Management	https://doi.org/10.1016/j.ocecoaman.2020.105167	No
Subcellular Chemical Imaging: New Avenues in Cell Biology	2020	Trends in Cell Biology	https://doi.org/10.1016/j.tcb.2019.12.007	No
A cell-based boundary model of gastrulation by unipolar ingression in the hydrozoan cnidarian Clytia hemisphaerica	2020	Developmental Biology	https://doi.org/10.1016/j.ydbio.2019.12.012	No
Thyroid hormone receptor: A new player in epinephrine-induced larval metamorphosis of the hard-shelled mussel	2020	General and Comparative Endocrinology	https://doi.org/10.1016/j.ygcen.2019.113347	No
Roll, right, repeat: short-term repeatability in the self-righting behaviour of a cold-water sea cucumber	2020	Journal of the Marine Biological Association of the United Kingdom	https://doi.org/10.1017/s0025315419001218	No
Genomics–Metabolomics Profiling Disclosed Marine Vibrio spartinae 3.6 as a Producer of a New Branched Side Chain Prodigiosin	2020	Journal of Natural Products	https://doi.org/10.1021/acs.jnatprod.9b01159	No
A framework for the computational prediction and analysis of non-coding RNAs in microbial environmental populations and their experimental validation	2020	The ISME Journal	https://doi.org/10.1038/s41396-020-0658-7	No
Clam feeding plasticity reduces herbivore vulnerability to ocean warming and acidification	2020	Nature Climate Change	https://doi.org/10.1038/s41558-019-0679-2	No
Resistance of seagrass habitats to ocean acidification via altered interactions in a tri-trophic chain	2020	Scientific Reports	https://doi.org/10.1038/s41598-020-61753-1	No
