title	date	journal	url	EMOBON_publication
Nutritional response of a coccolithophore to changing pH and temperature	2022	Limnology and Oceanography	https://doi.org/10.1002/lno.12204	No
Quantifying dominant bacterial genera detected in metagenomic data from fish eggs and larvae using genus-specific primers	2022	MicrobiologyOpen	https://doi.org/10.1002/mbo3.1274	No
Multilocus species delimitation analyses show junior synonyms and deep-sea unknown species of genus Gaidropsarus (Teleostei: Gadiformes) in the North Atlantic/Mediterranean Sea area.	2022	Research Square	https://doi.org/10.21203/rs.3.rs-1497892/v1	No
An inter-order comparison of copepod fatty acid composition and biosynthesis in response to a long-chain PUFA-deficient diet along a temperature gradient	2022	Research Square	https://doi.org/10.21203/rs.3.rs-1530735/v1	No
Ontogenetic dietary shifts of the medusa Rhizostoma pulmo (Cnidaria: Scyphozoa)	2022	Hydrobiologia	https://doi.org/10.1007/s10750-022-04903-y	No
Past, present and future of Clytia hemisphaerica as a laboratory jellyfish	2022	Current Topics in Developmental Biology,Emerging Model Systems in Developmental Biology	https://doi.org/10.1016/bs.ctdb.2021.12.014	No
Effects of LED lighting on Nannochloropsis oceanica grown in outdoor raceway ponds	2022	Algal Research	https://doi.org/10.1016/j.algal.2022.102685	No
Effects of pristine or contaminated polyethylene microplastics on zebrafish development	2022	Chemosphere	https://doi.org/10.1016/j.chemosphere.2022.135198	No
Assessment of larval quality of two bivalve species, Crassostrea angulata and Chamelea gallina, exposed and cryopreserved with different cryoprotectant solutions	2022	Cryobiology	https://doi.org/10.1016/j.cryobiol.2022.04.007	No
Unveiling molecular details behind improved activity at neutral to alkaline pH of an engineered DyP-type peroxidase	2022	Computational and Structural Biotechnology Journal	https://doi.org/10.1016/j.csbj.2022.07.032	No
Proteome dataset of sea bass (Dicentrarchus labrax) skin-scales exposed to fluoxetine and estradiol	2022	Data in Brief	https://doi.org/10.1016/j.dib.2022.107971	No
Local environment modulates whole-transcriptome expression in the seagrass Posidonia oceanica under warming and nutrients excess	2022	Environmental Pollution	https://doi.org/10.1016/j.envpol.2022.119077	No
β-1,3-Glucan/chitin unmasking in the Saccharomyces cerevisiae mutant, Δmnn9, promotes immune response and resistance of the Pacific oyster (Crassostrea gigas) to Vibrio coralliilyticus infection	2022	Fish & Shellfish Immunology	https://doi.org/10.1016/j.fsi.2022.09.019	No
Co-introduction of Dolicirroplectanum lacustre, a monogenean gill parasite of the invasive Nile perch Lates niloticus: intraspecific diversification and mitonuclear discordance in native versus introduced areas	2022	International Journal for Parasitology	https://doi.org/10.1016/j.ijpara.2022.09.001	No
Sedimentary Carbon and Nitrogen Stocks of Intertidal Seagrass Meadows in a Dynamic and Impacted Wetland: Effects of Coastal Infrastructure Constructions and Meadow Establishment Time	2022	SSRN Electronic Journal	https://doi.org/10.2139/ssrn.4125522	No
Stochastic diffusion characterises early colony formation in Mediterranean coral Corallium rubrum	2022	Journal of Theoretical Biology	https://doi.org/10.1016/j.jtbi.2022.111247	No
Loss of surficial sedimentary carbon stocks in seagrass meadows subjected to intensive clam harvesting	2022	Marine Environmental Research	https://doi.org/10.1016/j.marenvres.2022.105570	No
Physiological response to seawater pH of the bivalve Abra alba, a benthic ecosystem engineer, is modulated by low pH	2022	Marine Environmental Research	https://doi.org/10.1016/j.marenvres.2022.105704	No
Tropical storm-induced disturbance of deep-water porewater profiles, Gulf of Aqaba	2022	Marine Geology	https://doi.org/10.1016/j.margeo.2022.106926	No
Levels of microplastics and their characteristics in molluscs from North-West Mediterranean Sea: Human intake	2022	Marine Pollution Bulletin	https://doi.org/10.1016/j.marpolbul.2022.113843	No
The response of microphytobenthos to physical disturbance, herbicide, and titanium dioxide nanoparticle exposure	2022	Marine Pollution Bulletin	https://doi.org/10.1016/j.marpolbul.2022.114348	No
Extracting protein from microalgae (Tetraselmis chuii) for proteome analysis	2022	MethodsX	https://doi.org/10.1016/j.mex.2022.101637	No
Effects of foliar application of organic acids on strawberry plants	2022	Plant Physiology and Biochemistry	https://doi.org/10.1016/j.plaphy.2022.08.004	No
Peruvian marine ecosystems under metal contamination: First insights for marine species consumption and sustainable management	2022	Science of The Total Environment	https://doi.org/10.1016/j.scitotenv.2022.154132	No
Ioxynil and diethylstilbestrol increase the risks of cardiovascular and thyroid dysfunction in zebrafish	2022	Science of The Total Environment	https://doi.org/10.1016/j.scitotenv.2022.156386	No
Paraburkholderia gardini sp. nov. and Paraburkholderia saeva sp. nov.: Novel aromatic compound degrading bacteria isolated from garden and forest soil samples	2022	Systematic and Applied Microbiology	https://doi.org/10.1016/j.syapm.2022.126318	No
Mosaic or melting pot: The use of monogeneans as a biological tag and magnifying glass to discriminate introduced populations of Nile tilapia in sub-Saharan Africa	2022	Genomics	https://doi.org/10.1016/j.ygeno.2022.110328	No
Rationally Guided Improvement of NOV1 Dioxygenase for the Conversion of Lignin-Derived Isoeugenol to Vanillin	2022	Biochemistry	https://doi.org/10.1021/acs.biochem.2c00168	No
Straightforward N-Acyl Homoserine Lactone Discovery and Annotation by LC–MS/MS-based Molecular Networking	2022	Journal of Proteome Research	https://doi.org/10.1021/acs.jproteome.1c00849	No
Evolutionary Origin of Vertebrate OCT4/POU5 Functions in Supporting Pluripotency	2022	Nature Communications	https://doi.org/10.1038/s41467-022-32481-z	No
Physiological and morphological effects of a marine heatwave on the seagrass Cymodocea nodosa	2022	Scientific Reports	https://doi.org/10.1038/s41598-022-12102-x	No
Comparing dormancy in two distantly related tunicates reveals morphological, molecular, and ecological convergences and repeated co-option	2022	Scientific Reports	https://doi.org/10.1038/s41598-022-16656-8	No
Coronamoeba villafranca gen. nov. sp. nov. (Amoebozoa, Dermamoebida) – the first marine amoeba related to Dermamoeba and Paradermamoeba, challenges the correlation of morphology and phylogeny in Amoebozoa	2022	Research Square	https://doi.org/10.21203/rs.3.rs-1576486/v1	No
Long-term study on survival and development of successive generations of Mytilus galloprovincialis cryopreserved larvae	2022	Scientific Reports	https://doi.org/10.1038/s41598-022-17935-0	No
siRNA-mediated gene knockdown via electroporation in hydrozoan jellyfish embryos	2022	Scientific Reports	https://doi.org/10.1038/s41598-022-20476-1	No
An iterative and interdisciplinary categorisation process towards FAIRer digital resources for sensitive life-sciences data	2022	Scientific Reports	https://doi.org/10.1038/s41598-022-25278-z	No
Morpho-functional traits of the coral Stylophora pistillata enhance light capture for photosynthesis at mesophotic depths	2022	Communications Biology	https://doi.org/10.1038/s42003-022-03829-4	No
Fucoid brown algae inject fucoidan carbon into the ocean	2022	Proceedings of the National Academy of Sciences	https://doi.org/10.1073/pnas.2210561119	No
Phylogenetic position of Newhousia (Dictyotales, Phaeophyceae) and the description of N. sumayensis sp. nov. from Guam	2022	Phycologia	https://doi.org/10.1080/00318884.2022.2034364	No
The type species of the diatom genus Chaetoceros	2022	Diatom Research	https://doi.org/10.1080/0269249x.2022.2066182	No
Biogeography of six species in the planktonic diatom genus Bacteriastrum (Bacillariophyta)	2022	European Journal of Phycology	https://doi.org/10.1080/09670262.2021.2021591	No
Insight into the morphology and genetic diversity of theChaetoceros tenuissimus(Bacillariophyta) species complex	2022	European Journal of Phycology	https://doi.org/10.1080/09670262.2022.2029949	No
The curious and intricate case of the European Hediste diversicolor (Annelida, Nereididae) species complex, with description of two new species	2022	Systematics and Biodiversity	https://doi.org/10.1080/14772000.2022.2116124	No
Molecular genetic differentiation of native populations of Mediterranean blue mussels, Mytilus galloprovincialis Lamarck, 1819, and the relationship with environmental variables	2022	The European Zoological Journal	https://doi.org/10.1080/24750263.2022.2086306	No
More than just hitchhikers: a survey of bacterial communities associated with diatoms originating from sea turtles	2022	FEMS Microbiology Ecology	https://doi.org/10.1093/femsec/fiac104	No
The Fox gene repertoire in the annelid Owenia fusiformis reveals multiple expansions of the foxQ2 class in Spiralia	2022	Genome Biology and Evolution	https://doi.org/10.1093/gbe/evac139	No
Characterization of the complete mitochondrial genome of the Atlantic seabob shrimp Xiphopenaeus kroyeri Heller, 1862 (Decapoda: Dendrobranchiata: Penaeidae), with insights into the phylogeny of Penaeidae	2022	Journal of Crustacean Biology	https://doi.org/10.1093/jcbiol/ruac004	No
Gene Regulatory Networks of Epidermal and Neural Fate Choice in a Chordate	2022	Molecular Biology and Evolution	https://doi.org/10.1093/molbev/msac055	No
Effects of salinity on lipids reserves, survival and growth of flathead grey mullet Mugil cephalus (Linnaeus, 1758)	2022	Aquaculture Research	https://doi.org/10.1111/are.16066	No
Fungal endophytes vary by species, tissue type, and life cycle stage in intertidal macroalgae	2022	Journal of Phycology	https://doi.org/10.1111/jpy.13237	No
Bacterial exudates as growth‐promoting agents for the cultivation of commercially relevant marine microalgal strains	2022	Journal of the World Aquaculture Society	https://doi.org/10.1111/jwas.12910	No
Paleozoic origins of cheilostome bryozoans and their parental care inferred by a new genome-skimmed phylogeny	2022	Science Advances	https://doi.org/10.1126/sciadv.abm7452	No
Global Phylogeography of Marine Synechococcus in Coastal Areas Reveals Strong Community Shifts	2022	mSystems	https://doi.org/10.1128/msystems.00656-22	No
Pilot Study on the Intercalibration of a Categorisation System for FAIRer Digital Objects Related to Sensitive Data in the Life Sciences	2022	Data Intelligence	https://doi.org/10.1162/dint_a_00126	No
Orostylis gen. nov., a new genus of Dalytyphloplanida with seven new species (Platyhelminthes: Rhabdocoela)	2022	Zootaxa	https://doi.org/10.11646/zootaxa.5115.1.2	No
Diversity in the family Isodiametridae (Acoela): New species bring back old problems	2022	Zootaxa	https://doi.org/10.11646/zootaxa.5169.5.1	No
Amphioxus muscle transcriptomes reveal vertebrate-like myoblast fusion genes and a highly conserved role of insulin signalling in the metabolism of muscle	2022	BMC Genomics	https://doi.org/10.1186/s12864-021-08222-9	No
Marine gregarine genomes reveal the breadth of apicomplexan diversity with a partially conserved glideosome machinery	2022	BMC Genomics	https://doi.org/10.1186/s12864-022-08700-8	No
The visual pathway in sea spiders (Pycnogonida) displays a simple serial layout with similarities to the median eye pathway in horseshoe crabs	2022	BMC Biology	https://doi.org/10.1186/s12915-021-01212-z	No
Highly distinct genetic programs for peripheral nervous system formation in chordates	2022	BMC Biology	https://doi.org/10.1186/s12915-022-01355-7	No
Explorative study on scale cortisol accumulation in wild caught common dab (Limanda limanda)	2022	BMC Veterinary Research	https://doi.org/10.1186/s12917-022-03385-3	No
A microCT-based atlas of the central nervous system and midgut in sea spiders (Pycnogonida) sheds first light on evolutionary trends at the family level	2022	Frontiers in Zoology	https://doi.org/10.1186/s12983-022-00459-8	No
Functions of the FGF signalling pathway in cephalochordates provide insight into the evolution of the prechordal plate	2022	Development	https://doi.org/10.1242/dev.200252	No
Polyclinum constellatum (Tunicata, Ascidiacea), an emerging non-indigenous species of the Mediterranean Sea: integrated taxonomy and the importance of reliable DNA barcode data	2022	Mediterranean Marine Science	https://doi.org/10.12681/mms.28311	No
New Alien Mediterranean Biodiversity Records (2022)	2022	Mediterranean Marine Science	https://doi.org/10.12681/mms.28737	No
Exploring tissue morphodynamics using the photoconvertible Kaede protein in amphioxus embryos v1	2022	protocols.io	https://doi.org/10.17504/protocols.io.j8nlk46z6g5r/v1	No
Effects of bottom trawling and hypoxia on benthic invertebrate communities	2022	Marine Ecology Progress Series	https://doi.org/10.3354/meps14094	No
Comparative visual and DNA-based diet assessment extends the prey spectrum of polar cod Boreogadus saida	2022	Marine Ecology Progress Series	https://doi.org/10.3354/meps14145	No
Integrating single cell transcriptomics and volume electron microscopy confirms the presence of pancreatic acinar-like cells in sea urchins	2022	Frontiers in Cell and Developmental Biology	https://doi.org/10.3389/fcell.2022.991664	No
2b-RAD Genotyping of the Seagrass Cymodocea nodosa Along a Latitudinal Cline Identifies Candidate Genes for Environmental Adaptation	2022	Frontiers in Genetics	https://doi.org/10.3389/fgene.2022.866758	No
Domain-Dependent Evolution Explains Functional Homology of Protostome and Deuterostome Complement C3-Like Proteins	2022	Frontiers in Immunology	https://doi.org/10.3389/fimmu.2022.840861	No
Quorum Sensing Regulates Bacterial Processes That Play a Major Role in Marine Biogeochemical Cycles	2022	Frontiers in Marine Science	https://doi.org/10.3389/fmars.2022.834337	No
Microbiome Differentiation Among Coexisting Nematode Species in Estuarine Microhabitats: A Metagenetic Analysis	2022	Frontiers in Marine Science	https://doi.org/10.3389/fmars.2022.881566	No
Rhodolith Physiology Across the Atlantic: Towards a Better Mechanistic Understanding of Intra- and Interspecific Differences	2022	Frontiers in Marine Science	https://doi.org/10.3389/fmars.2022.921639	No
Population level variation in reproductive development and output in the golden kelp Laminaria ochroleuca under marine heat wave scenarios	2022	Frontiers in Marine Science	https://doi.org/10.3389/fmars.2022.943511	No
