title	date	journal	url	EMOBON_publication
A Tight Interaction between the Native Seagrass Cymodocea nodosa and the Exotic Halophila stipulacea in the Aegean Sea Highlights Seagrass Holobiont Variations	2023	Plants	https://doi.org/10.3390/plants12020350	No
Embryo mechanics cartography: inference of 3D force atlases from fluorescence microscopy	2023	Nature Methods	https://doi.org/10.1242/prelights.34464	No
Loss of POC and DOC on seagrass sediments by hydrodynamics	2023	Science of The Total Environment	https://doi.org/10.1016/j.scitotenv.2023.165976	No
Distribution of microplastics in freshwater systems in an urbanized region: A case study in Flanders (Belgium)	2023	Science of The Total Environment	https://doi.org/10.1016/j.scitotenv.2023.162192	No
Ocean acidification modifies behaviour of shelf seabed macrofauna: A laboratory study on two ecosystem engineers, Abra alba and Lanice conchilega	2023	Journal of Experimental Marine Biology and Ecology	https://doi.org/10.1016/j.jembe.2022.151831	No
Copepods' true colors: astaxanthin pigmentation as an indicator of fitness	2023	Ecosphere	https://doi.org/10.1002/ecs2.4489	No
Actinarctus doryphorus (Tanarctidae) DNA barcodes and phylogenetic reinvestigation of Arthrotardigrada with new A. doryphorus and Echiniscoididae sequences	2023	Zootaxa	https://doi.org/10.11646/zootaxa.5284.2.7	No
Functional trait responses to different anthropogenic pressures	2023	Ecological Indicators	https://doi.org/10.1016/j.ecolind.2022.109854	No
A review of biodiversity research in ports: Let's not overlook everyday nature!	2023	Ocean & Coastal Management	https://doi.org/10.1016/j.ocecoaman.2023.106623	No
Rapid faunal colonization and recovery of biodiversity and functional diversity following eelgrass restoration	2023	Restoration Ecology	https://doi.org/10.1111/rec.13887	No
Differential clearance rates of microbial phylotypes by four appendicularian species	2023	Marine Ecology Progress Series	https://doi.org/10.3354/meps14233	No
Changes in macrofauna bioturbation during repeated heatwaves mediate changes in biogeochemical cycling of nutrients	2023	Frontiers in Marine Science	https://doi.org/10.3389/fmars.2022.1070377	No
From metabarcoding time series to plankton food webs: The hidden role of trophic hierarchy in providing ecological resilience	2023	Marine Ecology	https://doi.org/10.1111/maec.12733	No
Sharing is caring? Barcoding suggests co-introduction of dactylogyrid monogeneans with Nile tilapia and transfer towards native tilapias in sub-Saharan Africa	2023	International Journal for Parasitology	https://doi.org/10.1016/j.ijpara.2023.05.007	No
Thermal acclimation and habitat-dependent differences in temperature robustness of a crustacean motor circuit	2023	Frontiers in Cellular Neuroscience	https://doi.org/10.3389/fncel.2023.1263591	No
The osteogenic and mineralogenic potential of the microalgae Skeletonema costatum and Tetraselmis striata CTP4 in fish models	2023	Cellular and Molecular Life Sciences	https://doi.org/10.1007/s00018-023-04953-y	No
Genetic resources of macroalgae: Development of an efficient method using microsatellite markers in non-model organisms	2023	Algal Research	https://doi.org/10.1016/j.algal.2023.103251	No
The protective effect of endogenous melatonin on gilthead seabream sperm during cryopreservation	2023	Aquaculture	https://doi.org/10.1016/j.aquaculture.2023.739997	No
In situ mapping of biomineral skeletal proteins by molecular recognition imaging with antibody-functionalized AFM tips	2023	Acta Biomaterialia	https://doi.org/10.1016/j.actbio.2023.07.028	No
Diversity of free-living flatworms (Platyhelminthes) in Cuba	2023	Biological Journal of the Linnean Society	https://doi.org/10.1093/biolinnean/blad041	No
Marine Flora of French Polynesia: An Updated List Using DNA Barcoding and Traditional Approaches	2023	Biology	https://doi.org/10.3390/biology12081124	No
Uncovering Genomic Features and Biosynthetic Gene Clusters in Endophytic Bacteria from Roots of the Medicinal Plant Alkanna tinctoria Tausch as a Strategy To Identify Novel Biocontrol Bacteria	2023	Microbiology Spectrum	https://doi.org/10.1128/spectrum.00747-23	No
Summer heatwaves affect coastal Antarctic plankton metabolism and community structure	2023	Journal of Experimental Marine Biology and Ecology	https://doi.org/10.1016/j.jembe.2023.151926	No
Otolith shape and elemental signatures provide insights into the connectivity of euryhaline Chelon labrosus inhabiting two close estuaries with different burdens of xenoestrogens in the Southern Bay of Biscay	2023	Marine Environmental Research	https://doi.org/10.1016/j.marenvres.2023.106075	No
Molybdenum(VI) complexes with ligands derived from 5-(2-pyridyl)-2H-tetrazole as catalysts for the epoxidation of olefins	2023	Catalysis Today	https://doi.org/10.1016/j.cattod.2023.114273	No
The role of the marine research infrastructures in the European marine observation landscape: present and future perspectives	2023	Frontiers in Marine Science	https://doi.org/10.3389/fmars.2023.1047251	No
Boring bryozoans: an investigation into the endolithic bryozoan family Penetrantiidae	2023	Organisms Diversity & Evolution	https://doi.org/10.1007/s13127-023-00612-z	No
Effects of habitat complexity on the abundance and diversity of seagrass leaf meiofauna communities in tropical Kenyan seagrass meadows	2023	Aquatic Botany	https://doi.org/10.1016/j.aquabot.2023.103651	No
Phylogeographic study using autonomous reef monitoring structures indicates fast range expansion of the invasive bryozoan Juxtacribrilina mutabilis	2023	Hydrobiologia	https://doi.org/10.1007/s10750-023-05184-9	No
No bacterial-mediated alleviation of thermal stress in a brown seaweed suggests the absence of ecological bacterial rescue effects	2023	Science of The Total Environment	https://doi.org/10.1016/j.scitotenv.2023.162532	No
A Molybdenum(VI) Complex of 5-(2-pyridyl-1-oxide)tetrazole: Synthesis, Structure, and Transformation into a MoO3-Based Hybrid Catalyst for the Epoxidation of Bio-Olefins	2023	Catalysts	https://doi.org/10.3390/catal13030565	No
Thermal imprinting during embryogenesis modifies skin repair in juvenile European sea bass (Dicentrarchus labrax)	2023	Fish & Shellfish Immunology	https://doi.org/10.1016/j.fsi.2023.108647	No
N2O production by mussels: Quantifying rates and pathways in current and future climate settings	2023	Frontiers in Marine Science	https://doi.org/10.3389/fmars.2023.1101469	No
The Saccharina latissima microbiome: Effects of region, season, and physiology	2023	Frontiers in Microbiology	https://doi.org/10.3389/fmicb.2022.1050939	No
Organic matter processing in a [simulated] offshore wind farm ecosystem in current and future climate and aquaculture scenarios	2023	Science of The Total Environment	https://doi.org/10.1016/j.scitotenv.2022.159285	No
Systematics and character evolution of capitate hydrozoans	2023	Cladistics	https://doi.org/10.1111/cla.12567	No
